frame_position,image_path,status,has_trash_bin,has_microwave,trash_bin_region,microwave_label,microwave_score,microwave_bbox,artifacts
13,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00291.jpg,error,False,False,null,,,,
14,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00313.jpg,error,False,False,null,,,,
15,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00335.jpg,partially_localized,False,True,null,microwave,0.43597620725631714,"[462.4578552246094, 419.2718200683594, 548.908935546875, 478.9612731933594]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00335_64e55d25fc_bbox.png
16,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00358.jpg,partially_localized,False,True,null,microwave,0.5057953000068665,"[423.7838134765625, 363.1287536621094, 506.54327392578125, 445.3677673339844]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00358_64e55d25fc_bbox.png
17,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00380.jpg,partially_localized,False,True,null,microwave,0.5545727610588074,"[418.2378845214844, 223.9090576171875, 502.3443298339844, 296.7476806640625]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00380_64e55d25fc_bbox.png
18,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00402.jpg,error,False,False,null,,,,
19,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00425.jpg,error,False,False,null,,,,
20,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00447.jpg,error,False,False,null,,,,
21,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00469.jpg,error,False,False,null,,,,
22,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00492.jpg,error,False,False,null,,,,
23,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00514.jpg,partially_localized,False,True,null,microwave,0.483024537563324,"[344.6212158203125, 0.0, 423.39849853515625, 33.217132568359375]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00514_64e55d25fc_bbox.png
24,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00536.jpg,partially_localized,False,True,null,microwave,0.581666111946106,"[446.0862731933594, 33.192813873291016, 541.2462158203125, 110.96055603027344]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00536_64e55d25fc_bbox.png
25,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00559.jpg,partially_localized,False,True,null,microwave,0.6118571758270264,"[539.1069946289062, 55.28379821777344, 639.0, 142.7245635986328]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00559_64e55d25fc_bbox.png
26,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00581.jpg,partially_localized,False,True,null,microwave,0.597930371761322,"[374.5838928222656, 0.0, 465.14947509765625, 36.97997283935547]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00581_64e55d25fc_bbox.png
27,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00603.jpg,partially_localized,False,True,null,microwave,0.43402284383773804,"[285.48291015625, 0.11655449867248535, 373.8018493652344, 61.442955017089844]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00603_64e55d25fc_bbox.png
28,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00626.jpg,partially_localized,False,True,null,microwave,0.6177016496658325,"[259.99566650390625, 0.0, 334.0296630859375, 21.1568603515625]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00626_64e55d25fc_bbox.png
29,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00648.jpg,error,False,False,null,,,,
30,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00670.jpg,error,False,False,null,,,,
31,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00693.jpg,error,False,False,null,,,,
32,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00715.jpg,error,False,False,null,,,,
33,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00738.jpg,error,False,False,null,,,,
34,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00760.jpg,error,False,False,null,,,,
35,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00782.jpg,partially_localized,False,True,null,microwave,0.629923939704895,"[0.0971221923828125, 158.13357543945312, 111.784912109375, 407.7666931152344]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00782_64e55d25fc_bbox.png
36,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00805.jpg,partially_localized,False,True,null,microwave,0.7329107522964478,"[0.46924591064453125, 103.54226684570312, 322.1383972167969, 344.788330078125]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00805_64e55d25fc_bbox.png
37,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00827.jpg,partially_localized,False,True,null,microwave,0.6785974502563477,"[249.10560607910156, 129.09043884277344, 601.7559204101562, 325.04876708984375]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00827_64e55d25fc_bbox.png
38,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00849.jpg,partially_localized,False,True,null,microwave,0.5278753042221069,"[451.4927978515625, 175.61842346191406, 639.0, 395.0303955078125]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00849_64e55d25fc_bbox.png
39,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00872.jpg,partially_localized,False,True,null,microwave,0.4721509516239166,"[556.0178833007812, 242.91830444335938, 639.0, 453.3657531738281]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00872_64e55d25fc_bbox.png
40,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00894.jpg,error,False,False,null,,,,
41,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00916.jpg,error,False,False,null,,,,
42,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00939.jpg,error,False,False,null,,,,
43,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00961.jpg,error,False,False,null,,,,
44,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00983.jpg,partially_localized,False,True,null,microwave,0.30884405970573425,"[0.4503440856933594, 143.97109985351562, 360.42303466796875, 409.87701416015625]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00983_64e55d25fc_bbox.png
45,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_01006.jpg,error,False,False,null,,,,
46,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_01028.jpg,partially_localized,False,True,null,microwave,0.37792617082595825,"[0.7149124145507812, 267.9000244140625, 343.63922119140625, 477.92626953125]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_01028_64e55d25fc_bbox.png
47,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_01050.jpg,partially_localized,False,True,null,microwave,0.33015140891075134,"[0.4477572441101074, 321.8791198730469, 66.2136001586914, 478.4381408691406]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_01050_64e55d25fc_bbox.png
48,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_01073.jpg,error,False,False,null,,,,
49,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_01095.jpg,error,False,False,null,,,,
50,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_01117.jpg,error,False,False,null,,,,
51,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_01140.jpg,error,False,False,null,,,,
52,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_01162.jpg,error,False,False,null,,,,
53,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_01185.jpg,error,False,False,null,,,,
54,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_01207.jpg,error,False,False,null,,,,
55,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_01229.jpg,error,False,False,null,,,,
56,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_01252.jpg,error,False,False,null,,,,
57,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_01274.jpg,partially_localized,False,True,null,microwave,0.3443794250488281,"[388.9001159667969, 452.7212829589844, 454.5205993652344, 479.0]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_01274_64e55d25fc_bbox.png
58,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_01296.jpg,error,False,False,null,,,,
59,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_01319.jpg,partially_localized,False,True,null,microwave,0.49601101875305176,"[94.04450988769531, 0.14903604984283447, 350.5439758300781, 59.79802703857422]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_01319_64e55d25fc_bbox.png
60,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_01341.jpg,partially_localized,False,True,null,microwave,0.48995083570480347,"[194.291259765625, 36.82050323486328, 257.7919921875, 109.74911499023438]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_01341_64e55d25fc_bbox.png
61,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_01363.jpg,error,False,False,null,,,,
62,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_01386.jpg,error,False,False,null,,,,
63,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_01408.jpg,error,False,False,null,,,,
